index,series,volume,issue_no,title,cover_date,collected,condition,value,notes
1,Star Wars,1,1a,,,True,,50.0,
2,Star Wars,1,1b,,,False,,400.0,35cent edition with UPC code
3,Star Wars,1,2,,,True,,30.0,
4,Star Wars,1,3,,,True,,22.0,
5,Star Wars,1,4,,,True,,19.0,
6,Star Wars,1,5,,,True,,19.0,
7,Star Wars,1,6,,,True,,18.0,
8,Star Wars,1,7,,,True,,15.0,
9,Star Wars,1,8,,,True,,15.0,
10,Star Wars,1,9,,,True,,15.0,
11,Star Wars,1,10,,,True,,15.0,
12,Star Wars,1,11,,,True,,15.0,
13,Star Wars,1,12,,,True,,15.0,
14,Star Wars,1,13,,,True,,15.0,
15,Star Wars,1,14,,,True,,15.0,
16,Star Wars,1,15,,,True,,15.0,
17,Star Wars,1,16,,,True,,12.0,
18,Star Wars,1,17,,,True,,12.0,
19,Star Wars,1,18,,,True,,12.0,
20,Star Wars,1,19,,,True,,12.0,
21,Star Wars,1,20,,,True,,12.0,
22,Star Wars,1,21,,,True,,12.0,
23,Star Wars,1,22,,,True,,12.0,
24,Star Wars,1,23,,,True,,12.0,
25,Star Wars,1,24,,,True,,12.0,
26,Star Wars,1,25,,,True,,8.0,
27,Star Wars,1,26,,,True,,8.0,
28,Star Wars,1,27,,,True,,8.0,
29,Star Wars,1,28,,,True,,8.0,
30,Star Wars,1,29,,,True,,8.0,
31,Star Wars,1,30,,,True,,8.0,
32,Star Wars,1,31,,,True,,8.0,
33,Star Wars,1,32,,,True,,8.0,
34,Star Wars,1,33,,,True,,8.0,
35,Star Wars,1,34,,,True,,8.0,
36,Star Wars,1,35,,,True,,8.0,
37,Star Wars,1,36,,,True,,8.0,
38,Star Wars,1,37,,,True,,8.0,
39,Star Wars,1,38,,,True,,8.0,
40,Star Wars,1,39,,,True,,15.0,Empire Strikes Back
41,Star Wars,1,40,,,True,,15.0,Empire Strikes Back
42,Star Wars,1,41,,,True,,15.0,Empire Strikes Back
43,Star Wars,1,42,,,True,,15.0,Empire Strikes Back
44,Star Wars,1,43,,,True,,15.0,Empire Strikes Back
45,Star Wars,1,44,,,False,,15.0,Empire Strikes Back
46,Star Wars,1,45,,,True,,6.0,
47,Star Wars,1,46,,,True,,6.0,
48,Star Wars,1,47,,,True,,6.0,
49,Star Wars,1,48,,,False,,6.0,
50,Star Wars,1,49,,,False,,6.0,
51,Star Wars,1,50,,,True,,6.0,
52,Star Wars,1,51,,,False,,6.0,
53,Star Wars,1,52,,,True,,6.0,
54,Star Wars,1,53,,,True,,6.0,
55,Star Wars,1,54,,,True,,6.0,
56,Star Wars,1,55,,,True,,6.0,UK Edition
57,Star Wars,1,56,,,True,,6.0,UK Edition
58,Star Wars,1,57,,,False,,6.0,
59,Star Wars,1,58,,,False,,6.0,
60,Star Wars,1,59,,,True,,6.0,UK Edition
61,Star Wars,1,60,,,True,,6.0,
62,Star Wars,1,61,,,True,,6.0,
63,Star Wars,1,62,,,True,,6.0,UK Edition
64,Star Wars,1,63,,,True,,6.0,UK Edition
65,Star Wars,1,64,,,False,,6.0,
66,Star Wars,1,65,,,False,,6.0,
67,Star Wars,1,66,,,True,,6.0,UK Edition
68,Star Wars,1,67,,,True,,6.0,UK Edition
69,Star Wars,1,68,,,False,,6.0,
70,Star Wars,1,69,,,False,,6.0,
71,Star Wars,1,70,,,False,,6.0,
72,Star Wars,1,71,,,False,,6.0,
73,Star Wars,1,72,,,False,,6.0,
74,Star Wars,1,73,,,False,,6.0,
75,Star Wars,1,74,,,True,,6.0,
76,Star Wars,1,75,,,True,,6.0,
77,Star Wars Return of the Jedi,1,1,,,True,,6.0,
78,Star Wars Return of the Jedi,1,2,,,True,,6.0,
79,Star Wars Return of the Jedi,1,3,,,True,,6.0,
80,Star Wars Return of the Jedi,1,4,,,True,,6.0,
81,Star Wars,1,76,,,False,,6.0,
82,Star Wars,1,77,,,False,,6.0,
83,Star Wars,1,78,,,False,,6.0,
84,Star Wars,1,79,,,False,,6.0,
85,Star Wars,1,80,,,True,,6.0,
86,Star Wars,1,81,,,True,,6.0,
87,Star Wars,1,82,,,False,,6.0,
88,Star Wars,1,83,,,False,,6.0,
89,Star Wars,1,84,,,False,,6.0,
90,Star Wars,1,85,,,False,,6.0,
91,Star Wars,1,86,,,False,,6.0,
92,Star Wars,1,87,,,False,,6.0,
93,Star Wars,1,88,,,False,,6.0,
94,Star Wars,1,89,,,False,,6.0,
95,Star Wars,1,90,,,False,,6.0,
96,Star Wars,1,91,,,False,,6.0,
97,Star Wars,1,92,,,False,,6.0,
98,Star Wars,1,93,,,False,,6.0,
99,Star Wars,1,94,,,False,,6.0,
100,Star Wars,1,95,,,False,,6.0,
101,Star Wars,1,96,,,False,,6.0,
102,Star Wars,1,97,,,False,,6.0,
103,Star Wars,1,98,,,False,,6.0,
104,Star Wars,1,99,,,False,,6.0,
105,Star Wars,1,100,,,False,,10.0,
106,Star Wars,1,101,,,False,,10.0,
107,Star Wars,1,102,,,False,,10.0,
108,Star Wars,1,103,,,False,,10.0,
109,Star Wars,1,104,,,False,,10.0,
110,Star Wars,1,105,,,False,,10.0,
111,Star Wars,1,106,,,False,,10.0,
112,Star Wars,1,107,,,False,,45.0,
